path,annotation
audio/train_00001.wav,SHE SCORED NINE FOR THE QUIZ
audio/train_00002.wav,SPENT EIGHT HOURS DRIVING ACROSS THE COUNTRY
audio/train_00003.wav,WE HAVE TO BE AT THE MEETING BY NINE TOMORROW
audio/train_00004.wav,SHE WAS ABLE TO COMPLETE THE PUZZLE WITH ZERO HELP FROM HER FRIENDS
audio/train_00005.wav,THEY WERE ONLY SEVEN DOLLARS AWAY FROM BEING ABLE TO AFFORD THE NEW GADGET
audio/train_00006.wav,SHE BOUGHT THREE NEW DRESSES FOR THE WEDDING
audio/train_00007.wav,THEY WERE ABLE TO COMPLETE THE MARATHON IN JUST SEVEN HOURS
audio/train_00008.wav,CAN TAKE SIX DIFFERENT BUSES TO GET TO HER OFFICE
audio/train_00009.wav,THE RECIPE REQUIRES TWO CUPS OF FLOUR
audio/train_00010.wav,SHE HAD TO WRITE SIX DIFFERENT ESSAYS FOR HER COLLEGE APPLICATIONS
audio/train_00011.wav,THEY ONLY HAVE ONE GOAL IN MIND WHICH IS TO WIN THE GAME
audio/train_00012.wav,THEY HAD TO COMPLETE THREE LAPS AROUND THE TRACK BEFORE THE RACE WAS OVER
audio/train_00013.wav,SHE ONLY HAD FIVE DOLLARS LEFT IN HER WALLET
audio/train_00014.wav,THE PAINTING WAS DIVIDED INTO THREE PANELS
audio/train_00015.wav,THEY FOUND A NINE LETTER WORD IN THE CROSSWORD PUZZLE
audio/train_00016.wav,THEY TOOK FIVE PHOTOGRAPHS OF THE SUNSET
audio/train_00017.wav,HE WAS THE ONLY ONE WHO BELIEVED IN HER
audio/train_00018.wav,HE RECEIVED SIX NAME CARDS IN THE COMPANY EVENT TODAY
audio/train_00019.wav,HE NEEDED TWO MORE POINTS TO WIN THE GAME
audio/train_00020.wav,THERE ARE FOUR SEASONS IN A YEAR
audio/train_00021.wav,THE TEAM WENT ON A TWO DAY RETREAT TO PITCH A TENT
audio/train_00022.wav,WE PLANTED NINE ROWS OF VEGETABLES IN THE GARDEN
audio/train_00023.wav,THEY DECIDED TO START THEIR OWN BUSINESS WITH ZERO INVESTMENT CAPITAL
audio/train_00024.wav,THEY WAITED IN LINE FOR FIVE HOURS TO GET TICKETS TO THE CONCERT
audio/train_00025.wav,THE COMPUTER PROGRAM TOOK EIGHT HOURS TO RUN
audio/train_00026.wav,TOOK A NINE HOUR FLIGHT TO GET TO LONDON
audio/train_00027.wav,HE HAD TO TAKE SIX DIFFERENT MEDICATIONS TO MANAGE HIS CONDITION
audio/train_00028.wav,THEY WAITED IN LINE FOR FIVE HOURS TO GET TICKETS TO THE CONCERT
audio/train_00029.wav,SHE HAD TO WRITE SIX DIFFERENT ESSAYS FOR HER COLLEGE APPLICATIONS
audio/train_00030.wav,HE RECEIVED SIX NAME CARDS IN THE COMPANY EVENT TODAY
audio/train_00031.wav,THEY WERE ABLE TO SURVIVE THE HARSH WINTER CONDITIONS WITH ZERO INJURIES
audio/train_00032.wav,HE ALWAYS ORDERS A NINE INCH PIZZA WHEN HE IS HUNGRY
audio/train_00033.wav,THEY HIKED FOR NINE MILES BEFORE STOPPING FOR LUNCH
audio/train_00034.wav,SHE WON SIX AWARDS FOR HER ACADEMIC ACHIEVEMENTS
audio/train_00035.wav,THEY CAUGHT SIX FISH IN THE RIVER
audio/train_00036.wav,THEY HAD TO CANCEL THE EVENT DUE TO ZERO TICKET SALES
audio/train_00037.wav,THEY SAW EIGHT SHOOTING STARS DURING THEIR CAMPING TRIP
audio/train_00038.wav,SHE WON NINE MATCHES IN A ROW
audio/train_00039.wav,HE HAD TO TAKE SIX DIFFERENT MEDICATIONS TO MANAGE HIS CONDITION
audio/train_00040.wav,HE HAD TO GIVE A PRESENTATION TO A GROUP OF SIX EXECUTIVES
audio/train_00041.wav,THEY HAD TO CANCEL THE EVENT DUE TO ZERO TICKET SALES
audio/train_00042.wav,THE CAR HAD FOUR FLAT TIRES
audio/train_00043.wav,HE HAD TO GIVE A PRESENTATION TO A GROUP OF SIX EXECUTIVES
audio/train_00044.wav,HE DIVIDED THE PIE INTO FOUR EQUAL PIECES
audio/train_00045.wav,HE WORKED FOR NINE DIFFERENT COMPANIES IN HIS CAREER
audio/train_00046.wav,THEY DECIDED TO ADOPT TWO KITTENS FROM THE ANIMAL SHELTER
audio/train_00047.wav,THEY HAD TO SOLVE SEVEN RIDDLES TO ENTER THE CASTLE
audio/train_00048.wav,THE RECIPE CALLS FOR FIVE CUPS OF FLOUR
audio/train_00049.wav,THEY PLANTED SIX APPLE TREES IN THEIR GARDEN
